Date,Close,Open,High,Low,Vol.,Change %
12-Nov-19,1.0281,1.0245,1.0464,1.0084,482.94K,0.35%
11-Nov-19,1.0245,1.0446,1.061,1.0082,522.50K,-1.93%
10-Nov-19,1.0446,0.978,1.0788,0.9726,787.03K,6.81%
9-Nov-19,0.978,0.9695,0.9911,0.9625,188.52K,0.88%
8-Nov-19,0.9695,1.0126,1.0418,0.9317,526.21K,-4.25%
7-Nov-19,1.0126,1.0256,1.0484,0.9403,1.01M,-1.27%
6-Nov-19,1.0256,0.9683,1.0855,0.9677,1.25M,5.93%
5-Nov-19,0.9683,0.9194,0.9859,0.8773,875.48K,5.32%
4-Nov-19,0.9194,0.8514,0.9216,0.8454,389.64K,7.98%
3-Nov-19,0.8514,0.8588,0.8626,0.8456,126.93K,-0.86%
2-Nov-19,0.8588,0.861,0.8733,0.8506,161.63K,-0.25%
1-Nov-19,0.861,0.857,0.8644,0.8446,141.50K,0.47%
31-Oct-19,0.857,0.8669,0.877,0.847,144.28K,-1.15%
30-Oct-19,0.8669,0.8683,0.8734,0.8396,230.25K,-0.16%
29-Oct-19,0.8683,0.8276,0.88,0.8239,263.11K,4.92%
28-Oct-19,0.8276,0.8488,0.8943,0.824,533.38K,-2.50%
27-Oct-19,0.8488,0.799,0.863,0.7891,744.44K,6.23%
26-Oct-19,0.799,0.8177,0.8766,0.7815,543.11K,-2.28%
25-Oct-19,0.8177,0.7565,0.8335,0.7495,474.03K,8.09%
24-Oct-19,0.7565,0.7208,0.7649,0.7153,200.27K,4.96%
23-Oct-19,0.7208,0.7925,0.7925,0.7065,380.18K,-9.05%
22-Oct-19,0.7925,0.8094,0.8129,0.789,197.77K,-2.10%
21-Oct-19,0.8094,0.8042,0.8283,0.7904,240.49K,0.65%
20-Oct-19,0.8042,0.7813,0.8353,0.7726,314.34K,2.93%
19-Oct-19,0.7813,0.7985,0.8007,0.777,220.09K,-2.16%
18-Oct-19,0.7985,0.8413,0.8426,0.7922,214.72K,-5.09%
17-Oct-19,0.8413,0.814,0.8698,0.792,313.21K,3.36%
16-Oct-19,0.814,0.8628,0.8686,0.7716,520.67K,-5.66%
15-Oct-19,0.8628,0.7871,0.9282,0.7836,841.62K,9.62%
14-Oct-19,0.7871,0.7719,0.792,0.7717,140.35K,1.97%
13-Oct-19,0.7719,0.7734,0.7873,0.7679,132.41K,-0.19%
12-Oct-19,0.7734,0.7746,0.7863,0.7675,124.15K,-0.18%
11-Oct-19,0.7748,0.7748,0.7878,0.7622,235.67K,0.00%
10-Oct-19,0.7748,0.8131,0.8136,0.7722,161.16K,-4.41%
9-Oct-19,0.8105,0.8013,0.8157,0.7838,319.55K,1.14%
8-Oct-19,0.8013,0.756,0.8052,0.7554,421.35K,6.00%
7-Oct-19,0.756,0.7167,0.7574,0.7155,285.41K,5.47%
6-Oct-19,0.7167,0.755,0.758,0.7076,230.19K,-5.06%
5-Oct-19,0.755,0.7368,0.7585,0.7283,206.77K,2.47%
4-Oct-19,0.7368,0.7441,0.7443,0.7121,146.57K,-0.99%
3-Oct-19,0.7441,0.7471,0.749,0.7196,167.98K,-0.40%
2-Oct-19,0.7471,0.7339,0.7474,0.7248,95.65K,1.79%
1-Oct-19,0.7339,0.7419,0.7575,0.7315,200.45K,-1.07%
